ALARM_NUMBER;ALARM_TYPE;SEVERITY;ALARM_TIME;CANCEL_STATE;CANCEL_TIME;NAME;CONSECUTIVE_NUMBER;ALARM_INSERTION_TIME;ALARM_UPDATE_TIME
7706;Communication;Major;30/06/2020 23:29:00;TRUE;30/06/2020 23:29:00;2G_KLK020;7151094;30/06/2020 23:29:00;30/06/2020 23:29:00
7786;Quality Of Service;Major;30/06/2020 19:19:00;TRUE;30/06/2020 19:20:00;3G_KLK014;7141532;30/06/2020 19:19:00;30/06/2020 19:19:00
7706;Communication;Major;30/06/2020 18:22:00;TRUE;01/07/2020 07:31:00;2G_KLK023;7139151;30/06/2020 18:22:00;30/06/2020 18:22:00
