ALARM_NUMBER;ALARM_TYPE;SEVERITY;ALARM_TIME;CANCEL_STATE;CANCEL_TIME;NAME;CONSECUTIVE_NUMBER;ALARM_INSERTION_TIME;ALARM_UPDATE_TIME
7706;Communication;Major;09/07/2020 07:57;VRAI;09/07/2020 07:58;2G_KLK020;;09/07/2020 07:57;09/07/2020 07:57
7706;Communication;Major;09/07/2020 07:55;VRAI;09/07/2020 07:56;2G_KLK020;;09/07/2020 07:55;09/07/2020 07:55
7706;Communication;Major;09/07/2020 07:53;VRAI;09/07/2020 07:54;2G_KLK020;;09/07/2020 07:53;09/07/2020 07:53
7706;Communication;Major;09/07/2020 07:51;VRAI;09/07/2020 07:52;2G_KLK020;;09/07/2020 07:51;09/07/2020 07:51
7706;Communication;Major;09/07/2020 07:49;VRAI;09/07/2020 07:50;2G_KLK020;;09/07/2020 07:49;09/07/2020 07:49
7706;Communication;Major;09/07/2020 07:48;VRAI;09/07/2020 07:48;2G_KLK020;;09/07/2020 07:48;09/07/2020 07:48
7706;Communication;Major;09/07/2020 07:45;VRAI;09/07/2020 07:47;2G_KLK020;;09/07/2020 07:45;09/07/2020 07:45
7706;Communication;Major;09/07/2020 07:43;VRAI;09/07/2020 07:44;2G_KLK020;;09/07/2020 07:43;09/07/2020 07:43
7706;Communication;Major;09/07/2020 07:41;VRAI;09/07/2020 07:42;2G_KLK020;;09/07/2020 07:41;09/07/2020 07:41
7706;Communication;Major;09/07/2020 07:40;VRAI;09/07/2020 07:40;2G_KLK020;;09/07/2020 07:40;09/07/2020 07:40
7706;Communication;Major;09/07/2020 07:39;VRAI;09/07/2020 07:39;2G_KLK020;;09/07/2020 07:39;09/07/2020 07:39
7706;Communication;Major;09/07/2020 07:37;VRAI;09/07/2020 07:38;2G_KLK020;;09/07/2020 07:37;09/07/2020 07:37
7706;Communication;Major;09/07/2020 07:35;VRAI;09/07/2020 07:36;2G_KLK020;;09/07/2020 07:35;09/07/2020 07:35
7706;Communication;Major;09/07/2020 07:33;VRAI;09/07/2020 07:34;2G_KLK020;;09/07/2020 07:33;09/07/2020 07:33
